Track,Track链接,Month,Pending,Clear,Reject,Total,Ave. Waiting Days for Complete Cases,字段2_link,CheckeeCaseNo,LastName,FirstName,ID,Univeristy,CheckDate,Degree,VisaType,VisaEntry,Employer,JobTitle,Consulate,YearsInUSA,Major,Status,Country,CompleteDate,Note
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828279,Checkee CaseNum: 828279,Last Name: N/A,First Name: N/A,ID: 大人别闭关,University(College): N/A,Check Date: 2020-01-02,Degree: MS,Visa Type: F1,Visa Entry: Renewal,Employer: N/A,Job Title: MLE,US Consulate: GuangZhou,Years in Usa: 1,Major: Computer Science,Status: Clear,Country: China,Complete Date: 2020-01-06,"Note: F1-OPT 入职之前续签
收护照，cv， offer letter， 机票订单。 vo口头告知4-6weeks。

希望不要耽误二月下半的入职啊！！！！！

Case Created: 2019-12-31
Case Last Updated: 2020-01-02
Case Last Updated: 2020-01-03
Issued：2020-01-06 

感动了！！！"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,,,,,,,,,,,,,,,,,,,
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828283,Checkee CaseNum: 828283,Last Name: N/A,First Name: N/A,ID: El Psy Kongroo,University(College): Carnegie Mellon University,Check Date: 2020-01-02,Degree: MS,Visa Type: H1,Visa Entry: New,Employer: Apple Inc.,Job Title: Software Develope Engineer,US Consulate: ShangHai,Years in Usa: 3,Major: N/A,Status: Clear,Country: China,Complete Date: 2020-01-03,Note: 收走了我的cv和护照，但第二天查ceac已经issued了
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828285,Checkee CaseNum: 828285,Last Name: N/A,First Name: N/A,ID: whatru,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: J1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: ShangHai,Years in Usa: 0,Major: CS,Status: Pending,Country: N/A,Complete Date: 0000-00-00,"Note: new J1,收了cv, research plan, offer, advisor cv。
告诉我要6 weeks!!!

Case Created:	31-Dec-2019
Case First Updated:	02-Jan-2020"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828286,Checkee CaseNum: 828286,Last Name: LLL,First Name: N/A,ID: NoZuoNoDieWhyIT,University(College): N/A,Check Date: 2020-01-02,Degree: Ph.D,Visa Type: F1,Visa Entry: Renewal,Employer: N/A,Job Title: N/A,US Consulate: ShangHai,Years in Usa: 4,Major: Electrical Engineering/Ap,Status: Pending,Country: CHN,Complete Date: 0000-00-00,"Note: 上一次2018年签证check30天 Original clearance received June-2018, so hope this time could be faster
22号口的大叔很nice,但还是告诉我这是policy,not much he could do 口头4-5周
收了我和老板的CV,护照，在读证明，ds160,study plan
我要回去！！！"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828294,Checkee CaseNum: 828294,Last Name: J,First Name: ZY,ID: asdfasdf,University(College): Purdue University,Check Date: 2020-01-02,Degree: Ph.D,Visa Type: H1,Visa Entry: New,Employer: N/A,Job Title: Process Development Engineer,US Consulate: GuangZhou,Years in Usa: 10,Major: Chemical Engineering,Status: Pending,Country: United States,Complete Date: 0000-00-00,Note: VO收走了CV，offer letter，job description，公司介绍，告知需要3-4周。
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828301,Checkee CaseNum: 828301,Last Name: N/A,First Name: N/A,ID: YiDingGuo,University(College): N/A,Check Date: 2020-01-02,Degree: BS,Visa Type: J1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: GuangZhou,Years in Usa: 0,Major: chemistry,Status: Pending,Country: N/A,Complete Date: 0000-00-00,"Note: 面签approved DS2019表并返还给我，收走护照，CV, work plan, 导师CV，告知等两到三周
Case Created:	31-Dec-2019
Case Last Updated:	02-Jan-2020"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828310,Checkee CaseNum: 828310,Last Name: N/A,First Name: N/A,ID: OgreMergO,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: B2,Visa Entry: Renewal,Employer: N/A,Job Title: N/A,US Consulate: BeiJing,Years in Usa: 0,Major: Computer Technology,Status: Pending,Country: N/A,Complete Date: 0000-00-00,Note:
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828330,Checkee CaseNum: 828330,Last Name: N/A,First Name: N/A,ID: oreo,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: F1,Visa Entry: Renewal,Employer: N/A,Job Title: N/A,US Consulate: ChengDu,Years in Usa: 0,Major: Computer Engineerning,Status: Pending,Country: N/A,Complete Date: 0000-00-00,Note: 被要求邮件补充CV和学习计划
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828342,Checkee CaseNum: 828342,Last Name: zhang,First Name: peng,ID: Petrolor,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: F1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: ChengDu,Years in Usa: 0,Major: N/A,Status: Pending,Country: N/A,Complete Date: 0000-00-00,Note:
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828354,Checkee CaseNum: 828354,Last Name: N/A,First Name: N/A,ID: nonmonai,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: H1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: ShangHai,Years in Usa: 0,Major: Information Science,Status: Clear,Country: N/A,Complete Date: 2020-01-08,"Note: 什么材料都没要

12/31 case created
01/02 case update
01/07 case update
01/08 issued"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828362,Checkee CaseNum: 828362,Last Name: N/A,First Name: N/A,ID: xdddzzz,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: H1,Visa Entry: Renewal,Employer: N/A,Job Title: N/A,US Consulate: Vancouver,Years in Usa: 6,Major: CSE,Status: Clear,Country: China,Complete Date: 2020-01-06,"Note: 问了学校/专业/公司/工作 看了简历 但还回来了 只收了护照797 白条
case last updated 1/6
🙏

update - emailed and issued @1:30pm 1/6"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828363,Checkee CaseNum: 828363,Last Name: N/A,First Name: N/A,ID: chendoxi,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: J1,Visa Entry: Renewal,Employer: N/A,Job Title: N/A,US Consulate: BeiJing,Years in Usa: 0,Major: Medicinal Chemistry,Status: Pending,Country: N/A,Complete Date: 0000-00-00,"Note: Case created: 12-31-2019
Case last update: 01-02-2020"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828367,Checkee CaseNum: 828367,Last Name: N/A,First Name: N/A,ID: AA009IAOW9,University(College): N/A,Check Date: 2020-01-02,Degree: N/A,Visa Type: J1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: BeiJing,Years in Usa: 0,Major: N/A,Status: Pending,Country: N/A,Complete Date: 0000-00-00,Note:
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828306,Checkee CaseNum: 828306,Last Name: N/A,First Name: N/A,ID: Armstronglinda,University(College): N/A,Check Date: 2020-01-03,Degree: N/A,Visa Type: J1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: ShangHai,Years in Usa: 0,Major: Basic Medicine,Status: Pending,Country: N/A,Complete Date: 0000-00-00,Note:
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828309,Checkee CaseNum: 828309,Last Name: N/A,First Name: N/A,ID: lobster89,University(College): N/A,Check Date: 2020-01-03,Degree: N/A,Visa Type: J1,Visa Entry: New,Employer: N/A,Job Title: N/A,US Consulate: BeiJing,Years in Usa: 0,Major: Geophysics,Status: Pending,Country: 中国,Complete Date: 0000-00-00,"Note: new J1,收了research plan, 护照，两人的cv
进入漫长等待期"
Track,https://www.checkee.info/main.php?dispdate=2020-01,2020-01,30,6,0,36,3,https://www.checkee.info/personal_detail.php?casenum=828369,Checkee CaseNum: 828369,Last Name: N/A,First Name: N/A,ID: NI,University(College): JHU,Check Date: 2020-01-03,Degree: MS,Visa Type: H1,Visa Entry: New,Employer: N/A,Job Title: Full stack engineer,US Consulate: ShangHai,Years in Usa: 3,Major: Security Informatics,Status: Pending,Country: China,Complete Date: 0000-00-00,Note:
